Kp,Km,f,p,K
16.2945,3.0763,0.4362,0.3333,6.5638
18.1158,19.2359,0.0015,10.0000,19.2342
2.5397,17.5251,0.2195,2.6667,13.2098
18.2675,9.7726,0.3881,0.6250,12.5799
12.6472,8.1415,0.7244,1.0000,11.2473
1.9508,2.5315,0.7671,0.6000,2.0779
5.5700,18.5085,0.2407,1.1111,14.7241
10.9376,0.1116,0.0355,0.6000,0.1245
19.1501,3.7278,0.9523,1.4286,17.5272
19.2978,6.4812,0.5305,0.9000,11.6751
3.1523,1.0037,0.1604,1.5000,1.2209
19.4119,2.8907,0.3628,1.0000,5.5976
19.1433,14.5874,0.2776,0.3750,15.7662
9.7075,9.6456,0.5807,1.5000,9.6815
16.0056,6.7613,0.6409,0.1667,12.0277
2.8377,4.7353,0.1189,7.0000,4.4777
8.4352,9.0173,0.0313,1.0000,8.9987
18.3147,3.7090,0.4808,0.4286,8.0968
15.8441,6.4851,0.1541,2.0000,7.5224
19.1898,5.2794,0.9266,0.7778,17.3952
13.1148,16.6015,0.4122,0.5000,15.1017
0.7142,13.9272,0.4038,0.6667,7.3075
16.9826,6.6707,0.1532,4.0000,7.8110
18.6799,11.6046,0.8751,0.5556,17.6456
13.5747,5.7568,0.8773,0.8333,12.2561
15.1548,5.2794,0.0928,0.4000,5.8865
14.8626,5.1980,0.3326,0.5714,7.4978
7.8445,13.5416,0.6935,0.5000,9.4079
13.1096,10.3965,0.1709,0.5000,10.8294
3.4237,1.5351,0.3459,0.2500,2.0676
14.1209,1.1169,0.3651,2.0000,2.6069
0.6367,5.1746,0.3417,0.3333,3.1542
5.5385,8.7985,0.9154,0.7500,5.7827
0.9234,5.6858,0.1712,1.0000,4.6249
1.9426,13.5754,0.1934,1.1429,10.6506
16.4692,18.9916,0.9662,2.0000,16.5507
13.8966,15.4791,0.4610,1.0000,14.7358
6.3420,12.7228,0.7349,2.0000,7.8112
19.0044,15.0716,0.0868,1.0000,15.3879
0.6889,14.9363,0.2153,0.1250,9.3766
8.7749,11.7206,0.5706,2.3333,9.9762
7.6312,15.4611,0.3236,0.1111,12.4915
15.3103,7.8498,0.9573,0.2000,14.9115
15.9040,12.1058,0.5904,2.2500,14.2574
3.7375,4.9487,0.1201,0.5556,4.7918
9.7953,5.8040,0.2767,0.1667,6.7723
8.9117,0.3867,0.1457,7.0000,0.7303
12.9263,6.9462,0.7191,0.2000,10.9719
14.1873,2.8359,0.7551,8.0000,9.8568
15.0937,8.2307,0.8479,0.7000,13.8161
5.5205,3.0614,0.1609,1.2500,3.3846
13.5941,16.5802,0.4269,2.0000,15.2595
13.1020,14.7840,0.8017,1.1667,13.4254
3.2522,1.9774,0.2064,1.8000,2.2027
2.3800,16.4127,0.6569,0.2222,5.7707
9.9673,4.5422,0.2902,1.3333,5.7714
19.1949,2.1388,0.6858,1.5000,8.6217
6.8077,13.2555,0.3088,0.8750,11.0129
11.7054,19.0915,0.9427,0.7000,12.0764
4.4762,16.2913,0.2389,0.3333,12.7085
15.0253,12.4651,0.6988,3.0000,14.2185
5.1019,6.5654,0.1399,5.0000,6.3462
10.1191,5.5474,0.4452,1.0000,7.3135
13.9815,8.6875,0.6460,2.0000,11.8826
17.8181,7.0059,0.0851,8.0000,7.6673
19.1858,17.5552,0.5120,1.0000,18.3777
10.9443,0.1231,0.2492,0.1429,0.3896
2.7725,13.9290,0.3753,1.1667,8.9014
2.9859,6.7613,0.5897,0.4286,4.3383
5.1502,6.0997,0.9952,1.0000,5.1545
16.8143,12.9620,0.0384,2.5000,13.0971
5.0856,18.4229,0.2657,8.0000,14.0057
16.2857,17.8615,0.3022,1.2000,17.3753
4.8705,19.9436,0.2061,1.1250,16.0582
18.5853,1.4577,0.6337,2.0000,6.2340
6.9997,2.5924,0.7156,0.6250,5.3182
3.9319,19.6314,0.5355,3.0000,9.9354
5.0217,1.8048,0.0746,4.5000,1.9680
12.3209,13.7232,0.1534,0.1000,13.5014
9.4658,18.5793,0.6837,0.2500,11.9601
7.0332,2.8363,0.3338,0.2500,3.9376
16.6166,17.6883,0.8420,0.5556,16.7830
11.7053,0.3952,0.9480,0.9000,7.5694
10.9945,6.8537,0.7517,0.8000,9.8184
18.3439,4.7661,0.0272,1.4000,4.9596
5.7168,19.6913,0.7441,3.3333,8.5719
15.1440,16.9320,0.3368,1.1250,16.3155
15.0746,15.8902,0.8014,0.1000,15.2343
7.6089,18.0056,0.1669,0.6667,15.9334
11.3564,15.6021,0.6367,2.0000,12.8057
1.5171,16.7302,0.1432,0.3333,13.5376
1.0790,6.4219,0.8201,1.6000,1.8049
10.6160,14.8549,0.1785,0.8000,14.0341
15.5833,13.2899,0.1794,2.0000,13.6828
18.6802,5.7837,0.1517,1.6667,6.9982
2.5981,6.7474,0.4346,1.5000,4.7047
11.3765,18.1727,0.8800,2.5000,12.0990
9.3878,0.6450,0.4995,1.8000,2.0693
0.2380,13.9272,0.5680,1.2500,4.8593
6.7425,4.1754,0.0876,0.5000,4.3656
3.2436,16.4830,0.4440,2.0000,9.5303
15.8857,4.3646,0.7046,2.0000,10.8888
6.2243,1.9928,0.9818,1.1667,6.0947
10.5707,12.3901,0.3581,0.3000,11.7169
3.3130,2.0763,0.1153,0.1429,2.2004
12.0396,15.9812,0.2601,0.7778,14.8894
5.2594,18.0585,0.9953,0.7500,5.3055
13.0816,6.2503,0.8375,0.2000,11.7063
13.7843,5.6318,0.7501,5.0000,11.1663
14.9630,0.1356,0.7646,0.9000,1.3227
9.0108,9.9174,0.9757,0.1667,9.0322
1.6764,19.7696,0.8836,2.5000,3.1522
4.5795,14.7588,0.6409,2.3333,7.6199
18.2667,6.2144,0.9046,0.5000,16.5191
3.0476,12.0082,0.8107,0.6667,4.3772
16.5163,15.6336,0.6060,1.0000,16.1646
10.7668,2.2307,0.8574,1.1111,8.4244
19.9227,11.5866,0.1569,1.3333,12.6754
1.5635,17.4074,0.3234,0.1667,9.8559
8.8536,13.7955,0.5065,1.0000,11.1358
2.1331,4.8594,0.3933,0.8571,3.6497
19.2380,6.8544,0.2807,2.6667,9.3423
0.0927,10.9088,0.8885,1.5000,0.9233
15.4982,1.3515,0.3059,1.7500,2.6861
16.3461,8.2090,0.8271,1.3333,14.5772
17.3739,4.7502,0.1831,1.0000,6.0913
1.6887,9.7795,0.8511,0.1000,2.3827
7.9957,16.1213,0.2961,0.6250,13.3869
5.1974,7.5570,0.0312,0.6000,7.4751
16.0014,10.3596,0.3710,1.0000,12.2381
8.6283,1.8920,0.3852,0.3333,3.5144
18.2130,18.1819,0.8565,0.6667,18.2085
3.6369,4.1526,0.9225,0.3750,3.6753
5.2761,7.6413,0.2568,0.3333,6.9808
2.9108,13.2056,0.5783,1.5000,6.5070
2.7214,15.1675,0.3273,0.3750,10.0034
17.3858,3.4614,0.4746,1.4000,7.3704
11.5941,10.3476,0.7431,0.1429,11.2648
10.9972,19.9068,0.6708,0.2000,13.5709
2.8991,14.1522,0.0639,1.5000,13.1911
17.0606,1.6113,0.9018,2.3333,12.6171
12.4411,0.8662,0.7209,0.8571,4.5989
7.0190,9.8231,0.4433,0.5000,8.5092
10.2650,8.9319,0.1724,0.3333,9.1528
8.0362,9.7360,0.4159,0.8889,9.0041
1.5193,3.3178,0.0007,1.5000,3.3162
4.7983,7.2131,0.5465,0.2857,5.8178
2.4664,17.6144,0.5643,1.0000,7.8463
3.6782,14.8870,0.0651,0.5000,13.9154
4.7991,8.3354,0.3867,1.3333,6.8375
8.3453,18.1471,0.5050,2.0000,12.7005
0.9931,1.8861,0.8686,1.0000,1.0940
18.0543,3.6265,0.7485,1.2500,11.7430
18.8957,18.9317,0.7457,9.0000,18.9049
9.8173,2.0170,0.8479,1.1111,7.5489
9.7851,7.7608,0.2371,5.0000,8.2117
6.7544,5.7845,0.3375,1.3333,6.1002
18.0011,1.4617,0.9641,1.2500,15.5287
7.3849,3.8922,0.1435,0.6667,4.2922
2.2241,8.3497,0.1035,3.5000,7.5194
15.6050,5.8585,0.9086,1.2500,14.2899
7.7948,14.0428,0.1152,1.3333,13.2139
4.8338,4.7943,0.7444,2.0000,4.8237
8.0782,19.1897,0.7247,1.1111,10.6853
1.9291,6.1092,0.1222,3.0000,5.4605
2.6395,3.0983,0.9849,0.8000,2.6461
18.8410,11.1102,0.2081,0.3750,12.4820
19.1227,15.8109,0.2497,1.5000,16.5969
11.5042,8.8774,0.4862,1.4000,10.0932
1.1956,19.9164,0.2927,1.6667,12.8175
4.6956,8.7317,0.7165,0.5000,5.7033
7.0632,6.0888,0.5742,0.5000,6.6360
16.4239,4.9302,0.7110,1.8000,11.6557
0.3081,19.2165,0.1008,0.1667,15.4649
0.8605,4.4576,0.3139,1.0000,3.0730
3.3798,7.9122,0.9283,0.2000,3.6335
12.9823,4.4905,0.8929,0.1000,11.7642
14.6344,5.4005,0.5987,1.0000,9.8998
12.9549,8.3688,0.4966,1.1111,10.4548
9.0185,19.9547,0.8257,1.1429,10.6273
