Kp,Km,f,Volume,Surface Area,Projection_1,Projection_2,Projection_3,AvgR,p,K
5.5479,8.3236,0.0886,0.0377,0.6850,0.0942,0.2827,0.0942,0.2080,0.3333,8.0482
12.4568,0.0687,0.4828,4.1888,12.5664,3.1416,3.1416,3.1416,1.0000,1.0000,0.2551
9.0730,1.7095,0.9015,0.3142,2.3484,0.4712,0.7854,0.4712,0.4217,0.6000,7.5605
5.3262,13.5139,0.5778,0.4691,3.0673,0.8796,0.5027,0.8796,0.4820,1.7500,8.3327
7.3982,6.9836,0.9693,3.0536,10.1788,2.5447,2.5447,2.5447,0.9000,1.0000,7.3852
2.0110,4.6632,0.4572,1.6965,7.3476,1.4137,2.5447,1.4137,0.7399,0.5556,3.3067
11.3466,11.6546,0.8015,0.1885,1.6573,0.4712,0.2827,0.4712,0.3557,1.6667,11.4073
13.0111,5.3886,0.3339,0.2011,1.6854,0.3770,0.5027,0.3770,0.3634,0.7500,7.3292
16.9458,7.6446,0.1271,2.0944,8.6803,1.5708,3.1416,1.5708,0.7937,0.5000,8.5281
4.8985,6.4065,0.5535,2.1447,8.0425,2.0106,2.0106,2.0106,0.8000,1.0000,5.5414
0.5287,18.2848,0.6599,0.3016,2.4902,0.7540,0.2827,0.7540,0.4160,2.6667,4.9849
12.9180,7.2417,0.2393,1.0263,5.0254,1.0996,1.5394,1.0996,0.6257,0.7143,8.3762
16.9742,17.1619,0.0179,0.0293,0.6922,0.2199,0.0314,0.2199,0.1913,7.0000,17.1585
7.9563,10.8128,0.1868,3.7699,11.7375,2.8274,3.1416,2.8274,0.9655,0.9000,10.2382
18.6126,10.4458,0.0669,0.9048,4.5239,1.1310,1.1310,1.1310,0.6000,1.0000,10.8853
5.2781,0.6874,0.6140,0.7540,4.0306,0.9425,1.1310,0.9425,0.5646,0.8333,2.2084
5.6452,8.6392,0.5120,0.1508,1.8046,0.5655,0.1257,0.5655,0.3302,4.5000,7.0108
13.5833,14.4977,0.4879,0.6702,4.1770,1.2566,0.5027,1.2566,0.5429,2.5000,14.0467
9.6205,11.3192,0.3102,0.3016,2.4902,0.7540,0.2827,0.7540,0.4160,2.6667,10.7732
16.2303,16.5156,0.4844,0.8378,6.9101,0.6283,3.1416,0.6283,0.5848,0.2000,16.3770
18.7098,3.0952,0.0943,0.8210,4.5008,0.8796,1.5394,0.8796,0.5809,0.5714,3.7005
0.8720,15.0496,0.9239,0.1508,1.3892,0.3770,0.2827,0.3770,0.3302,1.3333,1.6265
3.8941,13.8819,0.0332,0.4189,6.5210,0.3142,3.1416,0.3142,0.4642,0.1000,13.3682
5.1095,3.5977,0.7319,0.3142,2.3484,0.4712,0.7854,0.4712,0.4217,0.6000,4.6646
8.3118,6.2273,0.2137,1.0556,5.0341,1.3195,1.1310,1.3195,0.6316,1.1667,6.6369
9.7522,17.7066,0.3174,3.7699,11.7375,2.8274,3.1416,2.8274,0.9655,0.9000,14.8945
13.6073,15.2843,0.8719,0.3142,2.3484,0.4712,0.7854,0.4712,0.4217,0.6000,13.8153
7.1662,10.1217,0.2248,0.0754,0.8902,0.1885,0.2827,0.1885,0.2621,0.6667,9.4027
4.1951,6.0091,0.8332,0.1885,1.6573,0.4712,0.2827,0.4712,0.3557,1.6667,4.4718
7.2914,17.2121,0.8919,1.3404,6.1300,1.2566,2.0106,1.2566,0.6840,0.6250,8.1726
