Kp,Km,f,Volume,Surface Area,Projection,p,K
97.5867,48.4259,0.3340,75.3982,89.0007,21.9911,0.6667,61.8606
55.6407,50.2024,0.0672,16.7552,34.6875,8.3776,0.5000,50.5561
25.9047,81.1837,0.6244,50.2655,67.6729,16.7552,1.5000,43.4081
37.1856,43.3876,0.0960,335.1032,235.3055,58.6431,1.2500,42.7655
2.1488,84.4176,0.5545,3351.0322,1092.8702,272.2714,0.8000,31.0019
47.1817,76.1984,0.4186,301.5929,249.5369,59.6903,2.6667,63.0565
8.6180,49.7284,0.4896,678.5840,565.2522,122.5221,0.2222,24.8995
88.3517,9.2022,0.9807,2714.3361,943.3724,235.6194,0.8889,82.7593
72.1345,53.2042,0.3424,2680.8257,941.2221,234.5723,1.2500,59.2169
38.2614,84.6099,0.1633,33.5103,50.2655,12.5664,1.0000,75.6779
78.9412,47.7687,0.9007,8.3776,21.4784,5.2360,2.0000,75.2635
26.9550,59.7055,0.3525,821.0029,449.8319,109.9557,0.5714,46.5654
94.3255,15.2388,0.3037,1206.3716,555.7366,138.2301,1.3333,26.2335
94.4021,99.9824,0.4046,2052.5072,797.7426,197.9203,1.4286,97.6994
58.4002,68.2700,0.7545,942.4778,490.9275,120.4277,1.8000,60.7340
13.4839,87.9521,0.7858,33.5103,50.2655,12.5664,1.0000,25.6681
43.1006,36.1346,0.4431,1072.3303,555.0005,134.0413,0.5000,39.1157
26.6879,41.5636,0.7146,1357.1680,671.7273,160.2212,0.4444,30.5453
81.3146,75.6163,0.8310,16.7552,34.6875,8.3776,0.5000,80.3317
13.9633,26.8100,0.2088,67.0206,85.9137,20.9440,2.0000,23.7302
83.2998,0.3211,0.1881,29.3215,69.7163,15.7080,7.0000,1.0607
60.9150,46.9453,0.6067,2144.6606,804.2477,201.0619,1.0000,55.1022
77.0520,81.8262,0.7514,12.5664,30.8937,7.3304,3.0000,78.2213
74.7659,63.8670,0.7709,837.7580,445.4450,109.9557,1.6000,72.1613
73.7731,3.2011,0.0605,150.7964,181.3473,41.8879,4.5000,4.0837
8.2329,96.2955,0.6561,268.0826,419.6574,83.7758,0.1250,25.7534
